appid,discount,initial_price,price
5502,0,0,"0,00"
5499,0,0,"0,00"
5500,0,0,"0,00"
5503,0,0,"0,00"
5504,0,0,"0,00"
5507,0,0,"0,00"
5512,0,0,"0,00"
5511,0,0,"0,00"
5505,0,0,"0,00"
5510,0,0,"0,00"
5513,0,0,"0,00"
5514,0,0,"0,00"
5516,0,0,"0,00"
5515,0,0,"0,00"
5518,0,0,"0,00"
5517,0,0,"0,00"
5519,0,0,"0,00"
5520,0,0,"0,00"
5522,0,0,"0,00"
5521,0,0,"0,00"
5523,0,0,"0,00"
5525,0,0,"0,00"
5524,0,0,"0,00"
5529,0,0,"0,00"
5526,0,0,"0,00"
5527,0,0,"0,00"
5533,0,0,"0,00"
5531,0,0,"0,00"
5532,0,0,"0,00"
5530,0,0,"0,00"
5534,0,0,"0,00"
5536,0,0,"0,00"
5535,0,0,"0,00"
5537,0,0,"0,00"
5538,0,0,"0,00"
5539,0,0,"0,00"
5540,0,0,"0,00"
5541,0,0,"0,00"
5542,0,0,"0,00"
5543,0,0,"0,00"
5545,0,0,"0,00"
5544,0,0,"0,00"
5546,0,0,"0,00"
5551,0,0,"0,00"
5552,0,0,"0,00"
5547,0,0,"0,00"
5550,0,0,"0,00"
5549,0,0,"0,00"
5555,0,0,"0,00"
5553,0,0,"0,00"
5554,0,0,"0,00"
5556,0,0,"0,00"
5557,0,0,"0,00"
5558,0,0,"0,00"
5559,0,0,"0,00"
5560,0,0,"0,00"
5561,0,0,"0,00"
5562,0,0,"0,00"
5563,0,0,"0,00"
5564,0,0,"0,00"
5565,0,0,"0,00"
5566,0,0,"0,00"
5568,0,0,"0,00"
5567,0,0,"0,00"
5571,0,0,"0,00"
5569,0,0,"0,00"
5572,0,0,"0,00"
5570,0,0,"0,00"
5573,0,0,"0,00"
5574,0,0,"0,00"
5575,0,0,"0,00"
5578,0,0,"0,00"
5576,0,0,"0,00"
5577,0,0,"0,00"
5581,0,0,"0,00"
5579,0,0,"0,00"
5580,0,0,"0,00"
5582,0,0,"0,00"
5583,0,0,"0,00"
5584,0,0,"0,00"
5585,0,0,"0,00"
5588,0,0,"0,00"
5586,0,0,"0,00"
5591,0,0,"0,00"
5589,0,0,"0,00"
5587,0,0,"0,00"
5592,0,0,"0,00"
5593,0,0,"0,00"
5594,0,0,"0,00"
5595,0,0,"0,00"
5590,0,0,"0,00"
5597,0,0,"0,00"
5596,0,0,"0,00"
5602,0,0,"0,00"
5598,0,0,"0,00"
5599,0,0,"0,00"
5600,0,0,"0,00"
5601,0,0,"0,00"
5603,0,0,"0,00"
5604,0,0,"0,00"
5605,0,0,"0,00"
5606,0,0,"0,00"
5607,0,0,"0,00"
5608,0,0,"0,00"
5609,0,0,"0,00"
5610,0,0,"0,00"
5611,0,0,"0,00"
5613,0,0,"0,00"
5615,0,0,"0,00"
5614,0,0,"0,00"
5612,0,0,"0,00"
5616,0,0,"0,00"
5617,0,0,"0,00"
5618,0,0,"0,00"
5621,0,0,"0,00"
5619,0,0,"0,00"
5622,0,0,"0,00"
5620,0,0,"0,00"
5623,0,0,"0,00"
5626,0,0,"0,00"
5628,0,0,"0,00"
5627,0,0,"0,00"
5629,0,0,"0,00"
5631,0,0,"0,00"
5630,0,0,"0,00"
5633,0,0,"0,00"
5632,0,0,"0,00"
5636,0,0,"0,00"
5634,0,0,"0,00"
5637,0,0,"0,00"
5635,0,0,"0,00"
5638,0,0,"0,00"
5639,0,0,"0,00"
5640,0,0,"0,00"
5642,0,0,"0,00"
5641,0,0,"0,00"
5643,0,0,"0,00"
5644,0,0,"0,00"
5646,0,0,"0,00"
5645,0,0,"0,00"
